Druzyna,Wygrane,Przegrane,Obstawione Wygrane,Obstawione Przegrane,Pewniaki Wygrane,Pewniaki Przegrane,Procent Pewniakow,Procent Obstawionych
Atlanta Hawks,5,1,6,0,2,0,2*2,5*6,
Boston Celtics,1,3,2,2,1,1,2*2,3*4,
Brooklyn Nets,0,5,0,5,0,3,3*3,5*5,
Charlotte Hornets,2,3,0,5,0,2,2*2,3*5,
Chicago Bulls,4,2,4,2,1,0,1*1,2*6,
Cleveland Cavaliers,4,1,5,0,2,0,2*2,4*5,
Dallas Mavericks,2,3,3,2,1,1,2*2,4*5,
Denver Nuggets,2,3,0,5,0,2,1*2,3*5,
Detroit Pistons,3,1,2,2,0,0,0*0,1*4,
Golden State Warriors,5,0,5,0,2,0,2*2,5*5,
Houston Rockets,2,3,4,1,1,0,0*1,3*5,
Indiana Pacers,2,3,1,4,0,0,0*0,2*5,
Los Angeles Clippers,4,1,4,1,2,0,2*2,5*5,
Los Angeles Lakers,0,4,2,2,0,1,1*1,2*4,
Memphis Grizziles,3,3,4,2,1,0,1*1,5*6,
Miami Heat,3,2,2,3,1,0,1*1,4*5,
Milwaukee Bucks,2,3,3,2,0,0,0*0,4*5,
Minnesota Timberwolves,2,2,1,3,0,0,0*0,3*4,
New Orleans Pelicans,0,4,2,2,0,2,2*2,2*4,
New York Knicks,2,3,0,5,0,2,2*2,3*5,
Oklahoma City Thunder,3,3,4,2,2,0,2*2,3*6,
Orlando Magic,1,4,0,5,0,3,3*3,4*5,
Philadelphia 76ers,0,4,0,4,0,3,3*3,4*4,
Phoenix Suns,3,2,0,5,0,0,0*0,2*5,
Portland Trial Blazers,4,2,3,3,0,0,0*0,1*6,
Sacramento Kings,1,4,2,3,0,1,1*1,4*5,
San Antonio Spurs,3,2,5,0,3,0,3*3,3*5,
Toronto Raptors,5,0,4,1,0,0,0*0,4*5,
Utah Jazz,3,2,3,2,1,0,1*1,3*5,
Washington Wizards,3,1,3,1,1,0,1*1,2*4,
